Part,Value,Device,Package
BAT1,,BATTERY20PTH,BATTCOM_20MM_PTH
BAT_CON,,M02,02P
BMP280,,M06,06P
C1,10u,CPOL-EUE2.5-6,E2
C2,10u,CPOL-EUE2.5-6,E2
C3,0.1u,C-EU025-025X050,C025-025X050
C4,0.1u,C-EU025-025X050,C025-025X050
COIN,,JUMPER-2PTH,1X02
D1,1N5819,1N5819,DO41-10
D2,1N5819,1N5819,DO41-10
HALL,,M03,03P
IC1,LM1117-3.3V-SOT223,LM1117-3.3V-SOT223,SOT223
IC2,OPAMP-DUALDIP,OPAMP-DUALDIP,DIP08
LDR,,M02,02P
M1,WIRELESS-NRF24L01,WIRELESS-NRF24L01,WIRELESS-NRF24L01
MPU_ADD,,JUMPER-2PTH,1X02
MT3608,MT3608_BOB,MT3608_BOB,MT3608_BOB
PWR,M04X2,M04X2,2X4
PWR_LED,,LED3MM,LED3MM
Q1,MOSFET-NCHANNEL2N7000,MOSFET-NCHANNEL2N7000,TO-92
R1,10k,R-EU_0204/7,0204/7
R2,1k,R-EU_0204/7,0204/7
R4,10k,R-EU_0204/7,0204/7
R5,10k,R-EU_0204/7,0204/7
R6,10k,R-EU_0204/7,0204/7
SD,,M06,06P
SG1,F/CM04P,F/CM04P,F/CM04P
SWITCH,,M02,02P
U$1,,SAM_D21_MINI_BREAKOUT,JP1_SPARKFUN-SAMD21-MINI-BREAKOUT-V10
U$2,PRESET_LR,PRESET_LR,PRESET_LR
U$3,GPS-RECEIVER-NEO6M,GPS-RECEIVER-NEO6M,GPS-RECEIVER-NEO6M
U1,GY-521MPU6050,GY-521MPU6050,GY-521
XB1,XBEE-PRO,XBEE-PRO,XBEE-PRO
